stance,mean_hill,mean_calibration,mean_binding_hit,mean_verdict_match
neutral,0.8807,1.0,1.0,1.0
grace,0.881,1.0,1.0,1.0
grace_skeptic,0.8127,0.9458,0.9375,0.8333
